member,scenario,T_multiplier,total_pumping_cfs,depletion_metric_cfs,depletion_metric_source,streamflow_metric_cfs
gen=38_member=1440_pso,baseline,1.0,113.35804439337272,3.4529034573746813,lpr:total_combined:bdpl,5.147096542625318
gen=32_member=1182_pso,baseline,1.0,111.36023254322839,2.7220077083292202,lpr:total_combined:bdpl,5.877992291670779
gen=9_member=318_pso,baseline,1.0,115.99808480510761,4.880510044609951,lpr:total_combined:bdpl,3.7194899553900482
gen=35_member=1329_pso,baseline,1.0,113.84791084662494,3.698243078580272,lpr:total_combined:bdpl,4.901756921419728
gen=16_member=590_pso,baseline,1.0,113.05411225412092,3.34846780611377,lpr:total_combined:bdpl,5.25153219388623
gen=40_member=1489_pso,baseline,1.0,111.48626245012662,2.762367848307856,lpr:total_combined:bdpl,5.8376321516921434
gen=46_member=1746_pso,baseline,1.0,114.05170364496287,3.8017499035079347,lpr:total_combined:bdpl,4.798250096492065
gen=37_member=1384_pso,baseline,1.0,111.83794824170685,2.8842694553499975,lpr:total_combined:bdpl,5.715730544650002
gen=28_member=1045_pso,baseline,1.0,112.3848649606129,3.0336390826143367,lpr:total_combined:bdpl,5.566360917385663
gen=45_member=1687_pso,baseline,1.0,115.5351311941793,4.604703652165217,lpr:total_combined:bdpl,3.995296347834783
gen=31_member=1143_pso,baseline,1.0,110.8870646470241,2.5898972569853655,lpr:total_combined:bdpl,6.0101027430146345
gen=12_member=454_pso,baseline,1.0,115.77410762102116,4.751600800730163,lpr:total_combined:bdpl,3.8483991992698368
