member,generation,scenario,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs,z_score,parameter_factor,parameter_value,base_parameter_value,probability_weight,parameter_name,parameter_label,parameter_symbol
gen=40_member=6726_pso,50,storage_zminus_2p00,,,0.8,0.096,31.2425756,31.242517549639818,109.85504674963984,2.03707,2.377378087032568,6.222621912967432,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=44_member=7543_pso,50,storage_zminus_2p00,,,0.8,0.096,35.1870268,35.18705597340057,113.79958517340056,3.29833,3.75911542090378,4.84088457909622,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=43_member=7287_pso,50,storage_zminus_2p00,,,0.8,0.096,33.646587600000004,33.64656535247972,112.25909455247972,2.68124,3.0824565852983232,5.517543414701676,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=41_member=6982_pso,50,storage_zminus_2p00,,,0.8,0.096,36.2787468,36.278668778733376,114.8911979787334,3.84028,4.33294399141432,4.26705600858568,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=33_member=5577_pso,50,storage_zminus_2p00,,,0.8,0.096,34.0012852,34.00137781832889,112.6139070183289,2.80281,3.2252805781505027,5.3747194218494965,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=48_member=8183_pso,50,storage_zminus_2p00,,,0.8,0.096,34.7057788,34.70587203703935,113.31840123703935,3.0773,3.5139101028828104,5.086089897117189,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=48_member=8234_pso,50,storage_zminus_2p00,,,0.8,0.096,23.7818948,23.781937390842728,102.39446659084273,1.1268,1.3608785216647106,7.239121478335289,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=42_member=7080_pso,50,storage_zminus_2p00,,,0.8,0.096,35.2182188,35.21819334968434,113.83072254968432,3.313,3.774948017483868,4.825051982516132,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=47_member=8007_pso,50,storage_zminus_2p00,,,0.8,0.096,34.1347424,34.13470291303967,112.74723211303969,2.85212,3.2789631592457966,5.321036840754204,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=35_member=5961_pso,50,storage_zminus_2p00,,,0.8,0.096,36.8771876,36.87726444522587,115.48979364522586,4.16397,4.675922647481939,3.924077352518061,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
