member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,depletion_reeval_cfs,streamflow_reeval_cfs,depletion_archive_cfs,streamflow_archive_cfs
gen=44_member=5592_pso,50,113.83513390610548,113.76481946062475,3.86116131105657,4.73883868894343,3.8611613110565695,4.73883868894343
gen=38_member=4844_pso,50,113.49729508533946,113.23465912581813,3.550050840652294,5.0499491593477055,3.5500508406522946,5.049949159347705
gen=42_member=5368_pso,50,113.60327523642833,112.08410136181466,3.1462339053984913,5.453766094601509,3.146233905398492,5.453766094601508
gen=41_member=5212_pso,50,113.39280908408173,112.64868744227903,3.243770969851043,5.356229030148956,3.243770969851043,5.356229030148956
gen=46_member=5787_pso,50,112.2492079241474,112.17822411256682,3.1474113562396613,5.452588643760338,3.147411356239661,5.452588643760339
gen=47_member=5970_pso,50,112.98882236975206,112.64563778789609,3.2442946144177465,5.355705385582253,3.2442946144177465,5.355705385582253
gen=50_member=6375_pso,50,114.69132797029671,114.69132797029671,4.293338795448333,4.306661204551666,4.293338795448332,4.306661204551667
gen=50_member=6314_pso,50,113.86884680000001,113.86884680000001,3.895231362557841,4.704768637442159,3.895231362557841,4.704768637442159
gen=50_member=6331_pso,50,114.13882836846665,114.05054430401732,4.097636764925896,4.502363235074104,4.097636764925896,4.502363235074104
gen=50_member=6311_pso,50,113.50255122228927,113.27180171753508,3.58785546205992,5.012144537940079,3.58785546205992,5.012144537940079
gen=50_member=6307_pso,50,97.48088883739008,94.41283992446174,1.4711342245004395,7.12886577549956,1.4711342245004395,7.12886577549956
gen=50_member=6332_pso,50,104.88944693775548,103.52297256238982,1.9693832223156864,6.630616777684313,1.9693832223156864,6.630616777684313
gen=50_member=6369_pso,50,100.98821742317558,99.82847117045175,1.7324557769226856,6.867544223077314,1.7324557769226856,6.867544223077314
gen=50_member=6392_pso,50,103.38209531073947,101.68467497343006,1.8187227825418355,6.781277217458165,1.8187227825418355,6.781277217458165
gen=50_member=6378_pso,50,103.01387905851547,101.99905238085735,1.8456044015222999,6.7543955984777,1.8456044015223,6.7543955984777
gen=50_member=6337_pso,50,112.96343703652411,111.86815544127347,3.0969701098228315,5.503029890177168,3.0969701098228315,5.503029890177168
gen=50_member=6333_pso,50,103.37773224715643,102.20628686234474,1.867522037849292,6.732477962150708,1.867522037849292,6.732477962150708
gen=50_member=6385_pso,50,100.2375818522005,98.91710248830104,1.7012757557314309,6.898724244268569,1.7012757557314309,6.898724244268569
